final_text,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
mudah beli tiket check tanpa bagasi,5,0,9.14.5,2025-07-24 09:57:32,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:27:08
pakai gampang mesan tiket pilih preebook meels beli seat simple check online tampil jug tarik,5,13,9.14.5,2025-07-24 09:50:42,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:25:48
bagus,5,0,9.14.5,2025-07-24 09:48:42,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:27:48
mudah mesan terbang citilink jg fitur2,5,1,9.14.5,2025-07-24 09:48:33,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:25:20
harga sesuai citilink layan bagus mudah boking tiket,5,0,9.14.5,2025-07-24 09:46:12,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:28:04
airline mudah akses harga real program tarik,5,0,5.7.1,2025-07-24 09:43:01,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:17:41
untung langgan,5,0,9.14.5,2025-07-24 09:42:42,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:28:17
bantu mudah beli tiket ubah jadwal check online,5,0,5.7.1,2025-07-24 09:34:14,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:17:15
helpfull,5,0,5.7.1,2025-07-24 09:31:53,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:16:56
informasi terbang produk citilink terima kasih citilink maskapai terbang harga ekonomis layan taraf kelas bisnis,5,0,9.14.5,2025-07-24 09:31:43,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:16:37
simple mudah terkadang harga beli citilink,5,0,4.3.0,2025-07-24 09:29:37,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:15:55
interfacenya bagus tidak berat bantu suka travelling krn pandu itinerary promonya jg,5,1,9.14.5,2025-07-24 09:22:19,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:16:09
alhamdulillah manfaat makasih,5,0,9.14.5,2025-07-24 09:20:53,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:15:42
citilink oke,5,0,9.14.5,2025-07-24 09:20:24,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:15:09
masak air kopi bikin reservasi hepi,5,0,9.14.5,2025-07-24 09:20:13,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:11:38
keren,5,0,9.14.5,2025-07-24 09:19:57,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:11:18
betterfly citilink,5,0,5.5.5,2025-07-24 09:19:38,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:29:11
nice apps bagus display,5,0,3.1.7,2025-07-24 09:17:53,Good morning Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-25 01:14:39
5 bintang penuh tanpa ragu harap kembang fitur fitur tingkat performa terima kasih citilink hadir alam terbang modern nyaman bebas repot,5,2,9.14.5,2025-07-24 09:15:26,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:10:52
tahan otp citilink percaya masyarakat indonesia,5,0,5.7.1,2025-07-24 09:13:31,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:10:33
maskapai terbang harga tiket kompetitif layan contact center bantu 24 jam better fly with citilink,5,1,9.14.5,2025-07-24 09:12:41,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:10:17
mudah cepat,5,0,9.14.5,2025-07-24 09:12:06,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:09:52
bantu mudah,5,0,9.14.5,2025-07-24 09:12:05,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:09:39
mantap,5,0,,2025-07-24 09:08:55,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:09:27
citilink hati,5,0,9.14.5,2025-07-24 09:06:58,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:09:01
keren lengkap mudah penggunaanya simpel thanks citilink,5,1,9.14.5,2025-07-24 09:01:48,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:08:29
rating tunggu tiket gratis,5,0,9.14.5,2025-07-24 08:59:41,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:08:19
mudah langsung check online gaperlu antri,5,0,,2025-07-24 08:59:14,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:08:03
bantu mes tiket check,5,0,5.7.1,2025-07-24 08:57:13,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-25 01:07:53
bagus moga kembang,5,0,9.14.5,2025-07-24 08:49:33,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:20:01
mudah,5,0,,2025-07-24 08:47:58,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:19:49
bantu,5,0,5.7.1,2025-07-24 08:47:50,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:19:25
solusi tanpa,5,0,4.2.0,2025-07-24 08:47:31,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:19:13
sipp bingitzz,5,0,9.14.5,2025-07-24 08:47:19,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:18:54
mantab,5,0,9.14.5,2025-07-24 08:47:07,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:18:15
simple cepat nyaman terima kasih citilink mudah pergi,5,0,,2025-07-24 08:34:44,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:14:05
helpfull,5,0,5.7.1,2025-07-24 08:31:16,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-24 09:16:32
hi fly citilink,5,0,,2025-07-24 08:28:39,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-24 09:15:45
bantu jalan libur destinasi tuju,5,0,5.7.1,2025-07-24 08:27:02,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:13:17
harga sesuai tidak biaya mudah,5,0,9.14.0,2025-07-24 08:26:52,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 09:13:07
schedule smooth landing,5,0,9.14.5,2025-07-24 08:26:16,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-24 08:54:41
bagus,5,0,5.7.1,2025-07-24 08:25:13,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:57:57
best airlines,5,0,,2025-07-24 08:24:22,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-24 08:57:07
mudah bantu,5,0,5.7.1,2025-07-24 08:18:40,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:55:58
bagus,5,0,,2025-07-24 08:18:15,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-24 08:55:31
bantu lihat jadwal terbang mudah proses kece terbang citilink,5,0,9.14.5,2025-07-24 08:17:41,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:54:57
,5,0,5.7.1,2025-07-24 08:16:31,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:54:22
bantu laku mesan tiket,5,0,9.14.5,2025-07-24 08:16:23,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:54:12
bantu citilink,5,0,9.14.5,2025-07-24 08:14:31,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:52:55
bantu beli tiket,5,0,5.7.1,2025-07-24 08:11:02,Selamat Sore Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-24 08:51:57
fitur mes tiket belum,1,1,9.14.5,2025-07-23 01:52:55,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink.,2025-07-23 03:54:20
content tidak diupdate tawar email belum kerjasama bank,4,20,9.14.5,2025-07-16 23:43:43,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink.,2025-07-17 03:10:17
recommended,5,0,9.14.4,2025-07-13 06:08:09,Good afternoon Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care,2025-07-14 04:40:23
suka batal tiket,1,0,,2025-07-12 22:00:12,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami mohon maaf atas ketidaknyamanan yang dialami. Mohon kesediaannya dapat mengirimkan detail keluhan melalui email customercare@citilink.co.id. Kami tunggu konfirmasinya dan dengan senang hati kami akan membantu. Terima kasih Customer Care Citilink.,2025-07-14 04:39:50
mantap,5,0,,2025-07-10 16:07:43,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-11 07:26:27
bagus,5,0,9.14.4,2025-07-10 01:20:43,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-10 02:09:51
okokokok,4,0,9.14.4,2025-07-09 22:18:38,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-10 02:09:39
,5,0,9.14.4,2025-07-08 23:01:16,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-09 02:25:40
bagus,5,0,9.14.4,2025-07-07 11:06:21,Selamat Pagi Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-08 03:27:21
oke,5,0,9.14.4,2025-07-07 02:26:56,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-07 05:34:06
harga tidak main selisih bayar biaya admin bank admin responsif profesional,5,0,,2025-07-06 07:33:54,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-07 05:33:53
oke,5,0,9.14.4,2025-07-05 20:49:36,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-07 05:33:41
bagus banget,5,0,9.14.4,2025-07-05 20:30:05,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-07 05:33:01
best,5,0,,2025-07-04 23:29:26,Good evening Mr/Mrs. Thank you for your review. We will continue to strive to improve our service quality. Thank you Citilink Customer Care.,2025-07-05 12:23:50
bagus,5,0,9.14.4,2025-07-04 22:24:23,Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-05 12:23:15
bagus,5,0,9.14.4,2025-07-04 17:13:27,Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-05 12:22:41
oke,5,0,9.14.4,2025-07-04 13:51:53,Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-05 12:22:22
oke,5,0,9.14.4,2025-07-04 11:28:49,Selamat Malam Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-05 12:22:03
responsif,5,0,,2025-07-03 20:15:25,Selamat Siang Bapak/Ibu. Terima kasih atas ulasan yang diberikan. Kami akan terus berusaha meningkatkan kualitas pelayanan kami. Terima kasih Customer Care Citilink,2025-07-04 08:10:41
